ProjectID,ClientID,Title,Description,Deadline,Status
153,47,API Integration for Education,Comprehensive api integration for education including all deliverables as per contract.,2026-11-07,In Progress
154,11,E-commerce Platform for Education,Comprehensive e-commerce platform for education including all deliverables as per contract.,2026-06-12,Completed
155,54,Database Migration for Tech,Comprehensive database migration for tech including all deliverables as per contract.,2026-10-06,Completed
156,18,E-commerce Platform for Retail,Comprehensive e-commerce platform for retail including all deliverables as per contract.,2026-06-26,In Progress
157,22,Cloud Hosting Setup for Tech,Comprehensive cloud hosting setup for tech including all deliverables as per contract.,2026-03-13,In Progress
158,15,Marketing Campaign for Healthcare,Comprehensive marketing campaign for healthcare including all deliverables as per contract.,2026-05-20,Pending
159,27,Cloud Hosting Setup for Tech,Comprehensive cloud hosting setup for tech including all deliverables as per contract.,2026-09-26,In Progress
160,14,Marketing Campaign for Education,Comprehensive marketing campaign for education including all deliverables as per contract.,2026-11-26,Cancelled
161,2,Security Audit for Education,Comprehensive security audit for education including all deliverables as per contract.,2026-10-02,Pending
162,23,Database Migration for Education,Comprehensive database migration for education including all deliverables as per contract.,2026-09-02,Completed
163,48,API Integration for Tech,Comprehensive api integration for tech including all deliverables as per contract.,2026-05-23,In Progress
164,18,Marketing Campaign for Education,Comprehensive marketing campaign for education including all deliverables as per contract.,2026-02-14,In Progress
165,43,Marketing Campaign for Healthcare,Comprehensive marketing campaign for healthcare including all deliverables as per contract.,2026-09-27,Cancelled
166,40,API Integration for Retail,Comprehensive api integration for retail including all deliverables as per contract.,2026-08-20,Completed
167,43,Website Redesign for Retail,Comprehensive website redesign for retail including all deliverables as per contract.,2026-12-26,In Progress
168,30,SEO Optimization for Retail,Comprehensive seo optimization for retail including all deliverables as per contract.,2026-06-13,In Progress
169,14,E-commerce Platform for Finance,Comprehensive e-commerce platform for finance including all deliverables as per contract.,2026-07-22,Completed
170,25,Database Migration for Education,Comprehensive database migration for education including all deliverables as per contract.,2026-06-09,Completed
171,31,Website Redesign for Tech,Comprehensive website redesign for tech including all deliverables as per contract.,2026-02-26,Cancelled
172,23,Mobile App Development for Retail,Comprehensive mobile app development for retail including all deliverables as per contract.,2026-12-30,Pending
173,2,Mobile App Development for Healthcare,Comprehensive mobile app development for healthcare including all deliverables as per contract.,2026-02-10,Completed
174,16,SEO Optimization for Education,Comprehensive seo optimization for education including all deliverables as per contract.,2026-03-30,Completed
175,14,E-commerce Platform for Finance,Comprehensive e-commerce platform for finance including all deliverables as per contract.,2026-08-07,In Progress
