TaskID,ProjectID,Title,Description,Deadline,Status
1100,148,Backend Development,Execute documentation for project 148.,2026-09-26,Pending
1101,153,Frontend Development,Execute frontend development for project 153.,2026-10-18,Completed
1102,123,Client Review,Execute final handover for project 123.,2026-02-08,Completed
1103,131,Final Handover,Execute frontend development for project 131.,2026-05-29,Pending
1104,130,Testing & QA,Execute revisions for project 130.,2026-01-29,Completed
1105,133,Revisions,Execute testing & qa for project 133.,2026-10-30,Pending
1106,170,UI/UX Wireframing,Execute revisions for project 170.,2026-06-02,Completed
1107,145,Testing & QA,Execute client review for project 145.,2026-05-06,Completed
1108,133,Backend Development,Execute client review for project 133.,2026-11-06,In Progress
1109,162,Backend Development,Execute client review for project 162.,2026-08-28,Completed
1110,174,Final Handover,Execute testing & qa for project 174.,2026-03-17,Completed
1111,138,Client Review,Execute testing & qa for project 138.,2026-11-08,Completed
1112,102,Requirements Gathering,Execute final handover for project 102.,2026-08-13,Completed
1113,164,Backend Development,Execute final handover for project 164.,2026-01-17,In Progress
1114,146,Backend Development,Execute final handover for project 146.,2026-05-27,Completed
1115,133,Frontend Development,Execute ui/ux wireframing for project 133.,2026-10-30,Completed
1116,106,Requirements Gathering,Execute final handover for project 106.,2026-12-04,In Progress
1117,147,Frontend Development,Execute ui/ux wireframing for project 147.,2026-08-06,Completed
1118,138,Client Review,Execute frontend development for project 138.,2026-10-29,Completed
1119,126,Deployment,Execute documentation for project 126.,2026-07-23,Completed
1120,165,Testing & QA,Execute revisions for project 165.,2026-09-17,Pending
1121,138,UI/UX Wireframing,Execute revisions for project 138.,2026-10-16,In Progress
1122,110,Client Review,Execute documentation for project 110.,2026-11-04,Pending
1123,147,Client Review,Execute requirements gathering for project 147.,2026-08-27,Completed
1124,134,Revisions,Execute deployment for project 134.,2026-10-05,Pending
1125,134,Deployment,Execute ui/ux wireframing for project 134.,2026-10-04,In Progress
1126,130,Final Handover,Execute documentation for project 130.,2026-01-28,Pending
1127,142,UI/UX Wireframing,Execute revisions for project 142.,2026-09-28,Pending
1128,139,Client Review,Execute ui/ux wireframing for project 139.,2026-11-20,Completed
1129,118,Requirements Gathering,Execute testing & qa for project 118.,2026-02-15,Completed
1130,164,Backend Development,Execute documentation for project 164.,2026-02-09,Pending
1131,118,Revisions,Execute deployment for project 118.,2026-02-04,Completed
1132,170,Final Handover,Execute frontend development for project 170.,2026-05-25,Completed
1133,154,UI/UX Wireframing,Execute revisions for project 154.,2026-05-21,Completed
1134,153,Deployment,Execute backend development for project 153.,2026-10-28,Pending
1135,157,Deployment,Execute ui/ux wireframing for project 157.,2026-02-25,Pending
1136,148,Deployment,Execute requirements gathering for project 148.,2026-09-22,Completed
1137,151,Backend Development,Execute ui/ux wireframing for project 151.,2026-09-15,Completed
1138,159,Backend Development,Execute final handover for project 159.,2026-09-22,Completed
1139,103,Backend Development,Execute frontend development for project 103.,2026-06-10,In Progress
1140,173,UI/UX Wireframing,Execute documentation for project 173.,2026-02-02,Completed
1141,127,Backend Development,Execute backend development for project 127.,2026-01-23,Completed
1142,143,Frontend Development,Execute final handover for project 143.,2026-05-30,Completed
1143,101,Frontend Development,Execute frontend development for project 101.,2026-05-27,Completed
1144,170,Frontend Development,Execute ui/ux wireframing for project 170.,2026-05-30,Completed
1145,104,Deployment,Execute backend development for project 104.,2026-06-09,Pending
1146,142,Testing & QA,Execute requirements gathering for project 142.,2026-10-17,Pending
1147,117,Client Review,Execute documentation for project 117.,2026-03-04,Pending
1148,115,Revisions,Execute revisions for project 115.,2026-01-07,Pending
1149,147,Final Handover,Execute ui/ux wireframing for project 147.,2026-08-13,Completed
1150,158,Backend Development,Execute final handover for project 158.,2026-05-02,Pending
1151,106,Documentation,Execute testing & qa for project 106.,2026-11-20,Completed
1152,159,Requirements Gathering,Execute revisions for project 159.,2026-09-04,Pending
1153,152,UI/UX Wireframing,Execute revisions for project 152.,2026-08-30,Completed
1154,157,Deployment,Execute final handover for project 157.,2026-03-09,Pending
1155,119,Testing & QA,Execute final handover for project 119.,2026-09-04,Pending
1156,175,Deployment,Execute client review for project 175.,2026-07-19,Completed
1157,168,Documentation,Execute final handover for project 168.,2026-06-02,In Progress
1158,156,UI/UX Wireframing,Execute documentation for project 156.,2026-06-21,Completed
1159,128,Backend Development,Execute client review for project 128.,2026-02-20,In Progress
1160,144,Revisions,Execute client review for project 144.,2026-02-19,Completed
1161,154,UI/UX Wireframing,Execute deployment for project 154.,2026-05-18,Completed
1162,155,Testing & QA,Execute deployment for project 155.,2026-09-24,Completed
1163,120,UI/UX Wireframing,Execute ui/ux wireframing for project 120.,2026-07-10,In Progress
1164,111,UI/UX Wireframing,Execute deployment for project 111.,2026-06-11,In Progress
1165,117,Requirements Gathering,Execute final handover for project 117.,2026-03-10,Pending
1166,172,Deployment,Execute ui/ux wireframing for project 172.,2026-12-11,Pending
1167,153,Client Review,Execute requirements gathering for project 153.,2026-10-25,Completed
1168,137,Testing & QA,Execute deployment for project 137.,2026-06-17,Completed
1169,114,Documentation,Execute backend development for project 114.,2026-02-06,Pending
1170,120,Backend Development,Execute ui/ux wireframing for project 120.,2026-07-10,In Progress
1171,145,Documentation,Execute deployment for project 145.,2026-04-27,Completed
1172,115,Final Handover,Execute backend development for project 115.,2026-01-06,In Progress
1173,155,Documentation,Execute final handover for project 155.,2026-09-07,Completed
1174,172,Final Handover,Execute testing & qa for project 172.,2026-12-28,Pending
1175,104,Testing & QA,Execute deployment for project 104.,2026-06-08,In Progress
1176,145,Frontend Development,Execute frontend development for project 145.,2026-05-24,Completed
1177,173,Client Review,Execute ui/ux wireframing for project 173.,2026-01-18,Completed
1178,119,Requirements Gathering,Execute ui/ux wireframing for project 119.,2026-08-14,Completed
1179,168,Client Review,Execute revisions for project 168.,2026-06-05,In Progress
1180,144,Deployment,Execute testing & qa for project 144.,2026-03-12,Completed
1181,142,Final Handover,Execute ui/ux wireframing for project 142.,2026-09-23,Completed
1182,107,Frontend Development,Execute final handover for project 107.,2026-05-14,Completed
1183,107,UI/UX Wireframing,Execute testing & qa for project 107.,2026-04-27,Completed
1184,157,Revisions,Execute final handover for project 157.,2026-02-18,In Progress
1185,157,Backend Development,Execute documentation for project 157.,2026-02-26,In Progress
1186,115,UI/UX Wireframing,Execute testing & qa for project 115.,2026-01-19,In Progress
1187,163,Testing & QA,Execute requirements gathering for project 163.,2026-05-05,Completed
1188,129,Final Handover,Execute requirements gathering for project 129.,2026-08-09,Completed
1189,101,Testing & QA,Execute backend development for project 101.,2026-05-29,Completed
1190,118,Testing & QA,Execute testing & qa for project 118.,2026-01-23,Completed
1191,142,Revisions,Execute client review for project 142.,2026-10-14,Pending
1192,123,Documentation,Execute backend development for project 123.,2026-02-06,In Progress
1193,165,Deployment,Execute ui/ux wireframing for project 165.,2026-09-08,Completed
1194,151,Requirements Gathering,Execute client review for project 151.,2026-08-27,Completed
1195,103,Deployment,Execute final handover for project 103.,2026-05-28,Pending
1196,155,Client Review,Execute client review for project 155.,2026-09-16,Completed
1197,138,Requirements Gathering,Execute deployment for project 138.,2026-11-05,In Progress
1198,122,Final Handover,Execute revisions for project 122.,2026-05-05,Completed
1199,147,Client Review,Execute ui/ux wireframing for project 147.,2026-08-27,Completed
1200,132,Client Review,Execute documentation for project 132.,2026-06-25,Completed
